aso_service,brand,capacity,category,color,currency,doors,drive,first_owner,fuel,generation,horse_power,mileage,model,not_crashed,origin,price,seats,source,transmission,type,url,used,year
,Opel,1.6,Osobowe,Czarny,PLN,5,Na przednie koła,,Benzyna,J (2009-2015),115,144000,Astra,Tak,,26900,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-1-6-benzyna-czujniki-parkowania-bezwypadkowy-oplacony-tempomat-ID6DKxYS.html#4273bd9759,Używane,2009
Tak,Opel,2.0,Osobowe,Czarny,PLN,5,Na przednie koła,,Diesel,J (2009-2015),160,190000,Astra,Tak,Niemcy,19999,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-2-0cdti-160km-serwis-sprowadzony-100-oryginal-polecam-ID6DLA7o.html#4273bd9759,Używane,2010
,Opel,1.2,Osobowe,Zielony,PLN,5,Na przednie koła,,Diesel,J (2009-2015),95,189000,Astra,,,19999,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-opel-astra-2012-1-3-diesel-189-tys-bogata-wersja-polecam-ID6DGdbQ.html#4273bd9759,Używane,2012
,Opel,1.7,Osobowe,Złoty,PLN,3,Na przednie koła,,Diesel,H (2004-2014),100,180000,Astra,,,10700,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-bardzo-ladny-i-zadbany-gtc-navi-full-opcja-ID6DKxX1.html#4273bd9759,Używane,2006
,Opel,1.6,Osobowe,Czerwony,PLN,5,Na przednie koła,,Benzyna,G (1998-2009),84,97000,Astra,,Niemcy,6900,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-1-6-8-zaworowy-niezawodny-silnik-klima-ID6DKxUl.html#4273bd9759,Używane,2001
Tak,Opel,1.6,Osobowe,Biały,PLN,5,Na przednie koła,,Diesel,K (2015-),136,105296,Astra,Tak,Dania,49900,5,Osoby prywatnej,Automatyczna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-opel-astra-jedyny-taki-sport-136km-automat-aso-gwarancja-do-2026-ID6DJADh.html#4273bd9759,Używane,2016
Tak,Opel,1.7,Osobowe,Szary,PLN,5,Na przednie koła,,Diesel,J (2009-2015),110,200000,Astra,Tak,Belgia,23900,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-pelne-wyposazenie-2x-kola-ID6DDNAK.html#4273bd9759,Używane,2014
Tak,Opel,1.6,Osobowe,Srebrny,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),110,100000,Astra,Tak,Polska,42900,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-sports-tourer-enjoy-polski-salon-pelen-serwis-faktura-vat-ID6DGaBs.html#4273bd9759,Używane,2017
Tak,Opel,1.6,Osobowe,Srebrny,PLN,5,Na przednie koła,,Diesel,K (2015-),110,72862,Astra,,Polska,45500,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-1-6-cdti-salon-polska-serwis-aso-klima-tempomat-ID6DKxPj.html#4273bd9759,Używane,2017
Tak,Opel,1.7,Osobowe,Srebrny,PLN,5,Na przednie koła,Tak,Diesel,,120,198000,Astra,Tak,,10900,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-2008r-lift-1-7-cdti-120km-zadbana-ID6DLvU9.html#4273bd9759,Używane,2008
